1,1,5.93021
1,2,4.70708
1,3,4.84643
1,4,5.76082
1,5,5.97757
1,6,4.50763
1,7,4.42475
1,8,4.34369
1,9,4.26446
1,10,4.18704
1,11,4.44262
1,12,4.09142
1,13,3.99032
2,1,4.70708
2,2,6.21437
2,3,7.18932
2,4,5.0855
2,5,6.00398
2,6,4.58959
2,7,4.50763
2,8,4.42748
2,9,4.34916
2,10,4.27266
2,11,4.52823
2,12,4.17703
2,13,4.07593
3,1,4.84643
3,2,7.18932
3,3,6.61783
3,4,5.79451
3,5,6.71391
3,6,4.61601
3,7,4.58959
3,8,4.51036
3,9,4.43295
3,10,4.35735
3,11,4.61293
3,12,4.26173
3,13,4.16063
4,1,5.76082
4,2,5.0855
4,3,5.79451
4,4,6.56956
4,5,7.31637
4,6,5.21938
4,7,4.50945
4,8,4.48577
4,9,4.40927
4,10,4.33459
4,11,4.59016
4,12,4.23896
4,13,4.13786
5,1,5.97757
5,2,6.00398
5,3,6.71391
5,4,7.31637
5,5,9.66154
5,6,7.40107
5,7,6.69205
5,8,5.98486
5,9,5.96391
5,10,7.46391
5,11,7.71949
5,12,7.36828
5,13,7.26719
6,1,4.50763
6,2,4.58959
6,3,4.61601
6,4,5.21938
6,5,7.40107
6,6,6.73896
6,7,5.85735
6,8,5.15107
6,9,6.02038
6,10,4.03495
6,11,4.29053
6,12,3.93932
6,13,3.83823
7,1,4.42475
7,2,4.50763
7,3,4.58959
7,4,4.50945
7,5,6.69205
7,6,5.85735
7,7,6.58322
7,8,7.27812
7,9,4.60735
7,10,3.93841
7,11,4.24863
7,12,3.89743
7,13,3.79633
8,1,4.34369
8,2,4.42748
8,3,4.51036
8,4,4.48577
8,5,5.98486
8,6,5.15107
8,7,7.27812
8,8,6.0395
8,9,5.19615
8,10,4.52721
8,11,4.15301
8,12,3.85644
8,13,3.75535
9,1,4.26446
9,2,4.34916
9,3,4.43295
9,4,4.40927
9,5,5.96391
9,6,6.02038
9,7,4.60735
9,8,5.19615
9,9,5.95936
9,10,5.11692
9,11,4.74271
9,12,3.76173
9,13,3.71528
10,1,4.18704
10,2,4.27266
10,3,4.35735
10,4,4.33459
10,5,7.46391
10,6,4.03495
10,7,3.93841
10,8,4.52721
10,9,5.11692
10,10,5.88103
10,11,5.33333
10,12,4.35234
10,13,3.62147
11,1,4.44262
11,2,4.52823
11,3,4.61293
11,4,4.59016
11,5,7.71949
11,6,4.29053
11,7,4.24863
11,8,4.15301
11,9,4.74271
11,10,5.33333
11,11,6.38342
11,12,5.29645
11,13,4.56557
12,1,4.09142
12,2,4.17703
12,3,4.26173
12,4,4.23896
12,5,7.36828
12,6,3.93932
12,7,3.89743
12,8,3.85644
12,9,3.76173
12,10,4.35234
12,11,5.29645
12,12,5.68158
12,13,4.21437
13,1,3.99032
13,2,4.07593
13,3,4.16063
13,4,4.13786
13,5,7.26719
13,6,3.83823
13,7,3.79633
13,8,3.75535
13,9,3.71528
13,10,3.62147
13,11,4.56557
13,12,4.21437
13,13,5.47939
